player	injury	position	team	games	fga	fgm	threepm	fgp	fta	ftm	ftp	totalpts	ppg	totalast	apg	totalrb	rbpg	totalstls	spg	totalblk	bpg	totalmin	mpg
"Towns, Karl-Anthony"		C	MIN	35	622	316	114	50.8	226	180	79.6	926	26.5	153	4.4	378	10.8	33	0.9	42	1.2	1185	33.86
"Trent, Gary"		G	POR	53	350	149	78	42.6	36	30	83.3	406	7.7	50	0.9	88	1.7	39	0.7	13	0.2	1058	19.96
"Trier, Allonzo"		G	NY	24	106	51	19	48.1	43	34	79.1	155	6.5	28	1.2	29	1.2	3	0.1	4	0.2	289	12.04
"Tucker, P.J."		F	HOU	64	374	162	95	43.3	44	37	84.1	456	7.1	101	1.6	441	6.9	70	1.1	31	0.5	2204	34.44
"Tucker, Rayjon"		G	LAC	14	19	8	0	42.1	5	3	60	19	1.4	2	0.1	13	0.9	1	0.1	0	0	79	5.64
"Turner, Evan"		G	MIN	19	67	25	0	37.3	14	12	85.7	62	3.3	38	2	38	2	9	0.5	8	0.4	252	13.26
"Turner, Myles"		"C,F"	IND	55	517	233	77	45.1	144	108	75	651	11.8	61	1.1	360	6.5	42	0.8	120	2.2	1624	29.53
"Uthoff, Jarrod"		F	NO	4	7	1	0	14.3	2	2	100	4	1	0	0	1	0.3	1	0.3	0	0	13	3.25
"Valanciunas, Jonas"		C	MEM	62	657	385	29	58.6	168	123	73.2	922	14.9	109	1.8	696	11.2	25	0.4	69	1.1	1628	26.26
"Valentine, Denzel"		F	CHI	36	237	97	46	40.9	8	6	75	246	6.8	43	1.2	74	2.1	26	0.7	6	0.2	489	13.58
"Vanderbilt, Jarred"		F	MIN	11	8	5	0	62.5	2	2	100	12	1.1	2	0.2	9	0.8	3	0.3	1	0.1	46	4.18
"VanVleet, Fred"		G	TOR	48	701	287	131	40.9	166	140	84.3	845	17.6	317	6.6	180	3.8	91	1.9	13	0.3	1718	35.79
"Vassell, Devin"		G	SA																				
