player	injury	position	team	games	fga	fgm	threepm	fgp	fta	ftm	ftp	totalpts	ppg	totalast	apg	totalrb	rbpg	totalstls	spg	totalblk	bpg	totalmin	mpg
"Bonga, Isaac"		G	WAS	58	184	96	22	52.2	64	52	81.3	266	4.6	61	1.1	183	3.2	37	0.6	21	0.4	1025	17.67
"Booker, Devin"		G	PHO	62	1118	544	126	48.7	442	405	91.6	1619	26.1	408	6.6	258	4.2	45	0.7	16	0.3	2237	36.08
"Boucher, Chris"		F	TOR	55	260	119	28	45.8	103	82	79.6	348	6.3	23	0.4	242	4.4	20	0.4	53	1	724	13.16
"Bowen, Brian"	Out	G	IND	5	9	2	0	22.2	0	0	0	4	0.8	0	0	7	1.4	0	0	1	0.2	29	5.8
"Bowman, Ky"		G	LAC	45	321	134	33	41.7	41	34	82.9	335	7.4	131	2.9	121	2.7	44	1	10	0.2	1017	22.6
"Bradley, Avery"		G	MIA	49	383	170	63	44.4	24	20	83.3	423	8.6	63	1.3	115	2.3	43	0.9	5	0.1	1185	24.18
"Bradley, Tony"		C	PHI	50	155	103	1	66.5	40	26	65	233	4.7	17	0.3	216	4.3	12	0.2	25	0.5	532	10.64
"Brantley, Jarrell"		F	UTH	5	0	0	0	0	0	0	0	0	0	1	0.2	5	1	0	0	2	0.4	15	3
"Brazdeikis, Ignas"		F	NY	9	22	6	1	27.3	5	4	80	17	1.9	4	0.4	5	0.6	0	0	1	0.1	53	5.89
"Bridges, Mikal"		F	PHO	65	407	210	56	51.6	105	89	84.8	565	8.7	115	1.8	259	4	93	1.4	39	0.6	1771	27.25
"Bridges, Miles"		F	CHA	65	753	319	99	42.4	131	106	80.9	843	13	114	1.8	362	5.6	40	0.6	48	0.7	1995	30.69
"Brissett, Oshae"		F	TOR	19	36	13	3	36.1	10	8	80	37	1.9	7	0.4	26	1.4	4	0.2	1	0.1	135	7.11
