rank	player	team	position	adp	min	max
330	"Tillman, Xavier"	MEM	F	295.80	220	304
331	"Kurucs, Rodions"	BKN	F	295.93	263	299
332	"Fernando, Bruno"	ATL	C	296.27	230	230
333	"Bane, Desmond"	MEM	G	296.27	271	298
334	"Green, Josh"	DAL	G	296.33	262	270
335	"Quickley, Immanuel"	NY	G	296.40	249	298
336	"Vanderbilt, Jarred"	MIN	F	296.53	248	287
337	"Hernangomez, Willy"	NO	C	296.93	285	295
338	"Gibson, Taj"	NY	"F, C"	297.00	241	241
339	"Melli, Nicolo"	NO	C	297.07	271	309
340	"Hartenstein, Isaiah"	DEN	C	297.20	247	298
341	"Allen, Grayson"	MEM	G	297.33	257	290
342	"Snell, Tony"	ATL	F	297.60	264	306
343	"Jerome, Ty"	OKC	G	297.87	254	254
344	"Ilyasova, Ersan"	SAC	F	298.53	268	297
345	"Terry, Tyrell"	DAL	G	298.73	267	267
346	"Barea, J.J."	DAL	G	298.93	276	295
347	"Labissiere, Skal"	ATL	"C, F"	299.07	272	272
348	"Ojeleye, Semi"	BOS	F	299.07	285	288
349	"Isaac, Jonathan"	ORL	F	299.40	277	277
350	"Poole, Jordan"	GS	G	299.53	283	297
351	"Craig, Torrey"	MIL	F	299.60	282	299
352	"Knight, Brandon"	DET	G	299.73	282	282
353	"Claxton, Nicolas"	BKN	F	299.87	289	296
354	"Davis, Ed"	MIN	C	300.00	292	295
355	"Moore, E'Twaun"	PHO	G	300.07	287	287
356	"Edwards, Carsen"	BOS	G	300.13	294	295
357	"Kornet, Luke"	CHI	"C, F"	300.13	288	288
358	"Luwawu-Cabarrot, Timothe"	BKN	G	300.20	289	289
359	"Reed, Paul"	PHI	F	300.20	289	289
360	"Waters, Tremont"	BOS	G	300.27	290	290
361	"Hill, Solomon"	ATL	F	300.27	290	290
362	"Poirier, Vincent"	OKC	C	300.40	292	292
363	"Spellman, Omari"	NY	F	300.53	295	300
364	"Valentine, Denzel"	CHI	F	300.60	295	295
365	"Niang, Georges"	UTH	F	300.60	295	295
366	"Pritchard, Payton"	BOS	G	300.60	295	301
367	"Connaughton, Pat"	MIL	G	300.67	296	296
368	"Nader, Abdel"	PHO	F	300.67	296	296
369	"Johnson, Tyler"	BKN	G	300.87	299	299
370	"Johnson, Stanley"	TOR	F	300.87	299	299
371	"Nnaji, Zeke"	DEN	"F, C"	300.87	290	310
372	"Hezonja, Mario"	MEM	F	300.93	300	300
