player	injury	position	team	games	fga	fg	threepm	fgp	fta	ftm	ftp	ppg	apg	rbpg	spg	bpg	mpg
"Simons, Anfernee"		G	POR	65	525	211	74	40.2	92	76	82.6	8.8	1.5	2.3	0.4	0.2	21.54
"Smailagic, Alen"		F	GS	14	40	20	3	50	19	16	84.2	4.2	0.9	1.9	0.2	0.3	9.93
"Smart, Marcus"		G	BOS	53	632	240	128	38	127	106	83.5	13.5	4.8	3.8	1.6	0.5	32.42
"Smith, Dennis"		G	NY	34	211	72	16	34.1	53	27	50.9	5.5	2.9	2.3	0.8	0.2	15.82
"Smith, Ish"		G	WAS	60	581	262	55	45.1	70	48	68.6	10.5	4.8	3.2	0.9	0.4	26.1
"Smith, Jalen"		F	PHO														
"Smith, JR"		G	LAL														
"Smith, Zhaire"		G	DET	7	11	3	0	27.3	4	2	50	1.1	0.3	0.3	0.4	0	4.57
"Snell, Tony"		F	ATL	59	382	170	102	44.5	32	32	100	8	2.2	1.9	0.5	0.3	27.85
"Spellman, Omari"		F	NY	49	295	127	43	43.1	92	73	79.3	7.6	1	4.5	0.7	0.5	18.08
"Stanley, Cassius"		G	IND														
"Stevens, Lamar"		F	CLE														
"Stewart, Isaiah"		"C,F"	DET														
"Strus, Max"		G	MIA	2	3	2	0	66.7	1	1	100	2.5	0	0.5	0	0	3
"Sumner, Edmond"		G	IND	25	111	47	10	42.3	15	10	66.7	4.6	1.6	1.5	0.6	0.3	13.8
"Swanigan, Caleb"		F	POR	27	47	28	0	59.6	17	9	52.9	2.4	1.1	3.7	0.1	0.3	10.63
"Tatum, Jayson"		F	BOS	59	1113	499	167	44.8	279	225	80.6	23.6	2.9	7.1	1.4	0.9	34.68
"Teague, Jeff"		G	BOS	59	489	213	43	43.6	197	172	87.3	10.9	5.2	2.4	0.7	0.3	24.83
"Temple, Garrett"		G	CHI	55	524	198	112	37.8	73	56	76.7	10.3	2.6	3.5	0.8	0.5	28.07
"Terry, Tyrell"		G	DAL														
"Theis, Daniel"		C	BOS	58	382	216	26	56.5	106	81	76.4	9.3	1.6	6.6	0.6	1.3	23.86
"Thomas, Isaiah"		G	WAS	40	426	174	78	40.8	76	62	81.6	12.2	3.7	1.7	0.3	0.2	23.1
"Thomas, Khyri"		G	DET	8	17	5	5	29.4	4	2	50	2.1	0.4	0.1	0.4	0	7.75
"Thomas, Lance"		F	BKN														
"Thomas, Matt"		G	TOR	33	111	54	35	48.6	10	7	70	4.5	0.5	1.5	0.2	0	9.79
"Thompson, Klay"	Out	G	GS														
"Thompson, Tristan"		"C,F"	BOS	57	562	288	9	51.2	161	99	61.5	12	2.1	10.1	0.6	0.9	30.23
"Thybulle, Matisse"		G	PHI	57	234	96	50	41	41	25	61	4.7	1.2	1.5	1.4	0.7	19.47
"Tillman, Xavier"		F	MEM														
"Tolliver, Anthony"		F	MEM	47	155	54	39	34.8	25	18	72	3.5	0.7	2.8	0.3	0.2	15.6
"Toscano-Anderson, Juan"		F	GS	13	63	29	8	46	5	3	60	5.3	2	4	1	0.4	21
"Towns, Karl-Anthony"		C	MIN	35	622	316	114	50.8	226	180	79.6	26.5	4.4	10.8	0.9	1.2	33.86
"Trent, Gary"		G	POR	53	350	149	78	42.6	36	30	83.3	7.7	0.9	1.7	0.7	0.2	19.96
"Trier, Allonzo"		G	NY	24	106	51	19	48.1	43	34	79.1	6.5	1.2	1.2	0.1	0.2	12.04
"Tucker, P.J."		F	HOU	64	374	162	95	43.3	44	37	84.1	7.1	1.6	6.9	1.1	0.5	34.44
"Tucker, Rayjon"		G	LAC	14	19	8	0	42.1	5	3	60	1.4	0.1	0.9	0.1	0	5.64
"Turner, Evan"		G	MIN	19	67	25	0	37.3	14	12	85.7	3.3	2	2	0.5	0.4	13.26
"Turner, Myles"		"C,F"	IND	55	517	233	77	45.1	144	108	75	11.8	1.1	6.5	0.8	2.2	29.53
"Uthoff, Jarrod"		F	NO	4	7	1	0	14.3	2	2	100	1	0	0.3	0.3	0	3.25
"Valanciunas, Jonas"		C	MEM	62	657	385	29	58.6	168	123	73.2	14.9	1.8	11.2	0.4	1.1	26.26
"Valentine, Denzel"		F	CHI	36	237	97	46	40.9	8	6	75	6.8	1.2	2.1	0.7	0.2	13.58
"Vanderbilt, Jarred"		F	MIN	11	8	5	0	62.5	2	2	100	1.1	0.2	0.8	0.3	0.1	4.18
"VanVleet, Fred"		G	TOR	48	701	287	131	40.9	166	140	84.3	17.6	6.6	3.8	1.9	0.3	35.79
"Vassell, Devin"		G	SA														
"Vincent, Gabe"		G	MIA	6	19	4	4	21.1	0	0	0	2	0.5	0.5	0.2	0	6.83
"Vonleh, Noah"		"C,F"	CHI	33	89	50	3	56.2	30	24	80	3.8	0.8	3.7	0.3	0.2	11.06
"Vucevic, Nikola"		C	ORL	54	910	428	82	47	146	114	78.1	19.5	3.7	11	0.9	0.9	32.63
"Wade, Dean"		F	CLE	12	13	9	2	69.2	1	0	0	1.7	0.2	1.6	0.2	0.3	5.92
"Wagner, Moritz"		C	WAS	37	228	131	23	57.5	82	67	81.7	9.5	1.3	5.2	0.6	0.5	19.16
"Waiters, Dion"		G	LAL	3	26	10	8	38.5	1	0	0	9.3	1	3.7	0	0.7	14
"Walker, Kemba"	Out	G	BOS	50	832	350	165	42.1	225	195	86.7	21.2	4.9	4.1	0.9	0.5	31.84
"Walker, Lonnie"		G	SA	53	267	116	29	43.4	53	38	71.7	5.6	0.9	2.2	0.5	0.2	14.42
"Wall, John"		G	HOU														
"Wallace, Tyrone"		G	ATL	14	44	14	1	31.8	17	11	64.7	2.9	0.9	1.6	0.5	0.1	11.5
"Walton, Derrick"		G	PHI	26	39	18	10	46.2	9	7	77.8	2	1	0.6	0.3	0	9.54
"Wanamaker, Brad"		G	GS	63	318	136	33	42.8	116	108	93.1	6.6	2.5	2	0.8	0.2	19.29
"Warren, T.J."	Out	F	IND	61	869	460	69	52.9	186	151	81.2	18.7	1.4	4	1.1	0.4	32.52
"Washington, P.J."		F	CHA	58	589	268	86	45.5	136	88	64.7	12.2	2.1	5.4	0.9	0.8	30.31
"Watanabe, Yuta"		G	TOR	16	29	12	3	41.4	8	3	37.5	1.9	0.3	1.1	0.3	0.1	6.13
"Waters, Tremont"		G	BOS	10	35	12	3	34.3	6	6	100	3.3	1.2	0.9	0.5	0.2	9
"Watson, Paul"		F	TOR	5	8	0	0	0	2	1	50	0.2	1	0.8	0.2	0.2	5.2
"Weatherspoon, Quinndary"		G	SA	3	3	0	0	0	0	0	0	0	0.3	0.3	0	0	5
"Westbrook, Russell"		G	WAS	53	1199	568	51	47.4	346	269	77.7	27.5	7	8	1.7	0.3	35.92
"White, Coby"		G	CHI	65	792	312	133	39.4	129	102	79.1	13.2	2.7	3.5	0.8	0.1	25.8
"White, Derrick"		G	SA	61	464	213	57	45.9	175	150	85.7	10.4	3.4	3.2	0.6	0.9	24.1
"Whiteside, Hassan"		C	SAC	61	676	418	4	61.8	225	153	68	16.3	1.2	14.2	0.4	3.1	31.31
"Wiggins, Andrew"		F	GS	54	978	437	111	44.7	268	190	70.9	21.8	3.7	5.1	0.8	1	34.39
"Wiley, Austin"		C	FA														
"Williams, Grant"		F	BOS	62	192	80	21	41.7	51	37	72.5	3.5	1	2.6	0.5	0.5	15.63
"Williams, Johnathan"		C	WAS	11	25	16	0	64	5	3	60	3.2	0.5	3.9	0.1	0.5	12.18
"Williams, Kenrich"		F	OKC	35	143	49	25	34.3	24	9	37.5	3.8	1.5	5.1	0.7	0.6	22.14
"Williams, Lou"		G	LAC	60	883	367	107	41.6	322	278	86.3	18.7	5.7	3.1	0.7	0.2	29.32
"Williams, Marvin"		F	MIL	52	249	110	52	44.2	54	47	87	6.1	1.1	2.8	0.7	0.5	19.42
"Williams, Patrick"		F	CHI														
"Williams, Robert"		C	BOS	23	62	42	0	67.7	25	14	56	4.3	1	4.7	0.9	1.2	14.09
"Williams-Goss, Nigel"		G	UTH	9	7	1	0	14.3	2	2	100	0.4	0.6	0.6	0.1	0.1	3.11
"Williamson, Zion"		F	NO	19	292	172	6	58.9	152	98	64.5	23.6	2.2	6.8	0.8	0.5	29.68
"Wilson, D.J."		F	MIL	31	101	40	14	39.6	9	6	66.7	3.2	0.7	2.2	0.1	0.2	9.06
"Windler, Dylan"		G	CLE														
"Winslow, Justise"		F	MEM	11	129	50	6	38.8	27	18	66.7	11.3	4	6.6	0.6	0.5	32.09
"Winston, Cassius"		G	WAS														
"Wiseman, James"		C	GS														
"Wood, Christian"		F	HOU	62	508	288	54	56.7	242	180	74.4	13.1	1	6.3	0.5	0.9	21.27
"Wright, Delon"		G	DET	65	381	179	45	47	90	71	78.9	7.3	3.4	4	1.2	0.3	21.74
"Wright-Foreman, Justin"		G	UTH	1	0	0	0	0	0	0	0	0	0	0	0	0	2
"Young, Thaddeus"		F	CHI	64	601	269	79	44.8	72	42	58.3	10.3	1.8	4.9	1.4	0.4	24.91
"Young, Trae"		G	ATL	60	1249	546	205	43.7	559	481	86	29.6	9.3	4.3	1.1	0.1	35.32
"Zeller, Cody"		"C,F"	CHA	58	479	251	18	52.4	179	122	68.2	11.1	1.5	7.1	0.7	0.4	23.16
"Zizic, Ante"		C	CLE	22	72	41	0	56.9	19	14	73.7	4.4	0.3	3	0.3	0.2	10.09
"Zubac, Ivica"		C	LAC	64	336	202	0	60.1	141	107	75.9	8	1.1	7.2	0.2	0.9	18.05
